method,sc_folder,day,num_scenarios,num_stages,in_sample_prediction,path,num_nodes,num_tree_stages,num_leaf_nodes,avg_nodes_per_stage,max_nodes_per_stage,avg_leaf_group_size,max_leaf_group_size,prob_min,prob_max,prob_std,prob_entropy_norm,effective_num_scenarios
dif_ren,100,28,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_28.json,5286,103,90,51.320388349514566,90,1.1111111111111112,5,0.01,0.05,0.005665577237325316,0.9828027244818474,71.42857142857142
dif_ren,100,29,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_29.json,4847,103,80,47.05825242718446,80,1.25,6,0.01,0.06,0.007500000000000001,0.9733835306770957,58.8235294117647
dif_ren,100,3,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_3.json,5566,103,86,54.03883495145631,86,1.1627906976744187,3,0.01,0.03,0.004539353789754217,0.986764443539298,74.6268656716418
dif_ren,100,30,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_30.json,6769,103,87,65.71844660194175,87,1.1494252873563218,5,0.01,0.05,0.005576785963544002,0.9828833729594709,70.42253521126761
dif_ren,100,31,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_31.json,4663,103,84,45.271844660194176,84,1.1904761904761905,6,0.01,0.06,0.006982322999340562,0.9763610208825871,62.5
dif_ren,100,4,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_4.json,5375,103,85,52.18446601941748,85,1.1764705882352942,5,0.01,0.05,0.0055680750899761095,0.9829656160442019,69.44444444444444
dif_ren,100,5,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_5.json,5333,103,88,51.77669902912621,88,1.1363636363636365,8,0.01,0.08,0.007859825666268446,0.9747463378335721,59.52380952380952
dif_ren,100,6,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_6.json,5807,103,88,56.37864077669903,88,1.1363636363636365,8,0.01,0.08,0.008003098573481367,0.9735776785044985,58.82352941176469
dif_ren,100,7,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_7.json,6107,103,87,59.29126213592233,87,1.1494252873563218,4,0.01,0.04,0.005779220731023695,0.9811058515075687,69.44444444444446
dif_ren,100,8,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_8.json,5656,103,89,54.9126213592233,89,1.1235955056179776,4,0.01,0.04,0.004931035563481278,0.9858120717643618,74.6268656716418
dif_ren,100,9,100,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_100/results_9.json,6180,103,86,60.0,86,1.1627906976744187,4,0.01,0.04,0.005025623903482398,0.9848269066568882,72.46376811594205
dif_ren,110,1,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_1.json,5480,103,88,53.20388349514563,88,1.25,8,0.00909090909090909,0.07272727272727272,0.009013096740160015,0.9622080848675695,54.01785714285715
dif_ren,110,10,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_10.json,5965,103,93,57.9126213592233,93,1.1827956989247312,9,0.00909090909090909,0.08181818181818182,0.008212307323404975,0.9692038673286605,58.73786407766992
dif_ren,110,11,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_11.json,7006,103,98,68.01941747572816,98,1.1224489795918366,3,0.00909090909090909,0.02727272727272727,0.0039531123845385,0.9880595815602156,85.21126760563381
dif_ren,110,12,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_12.json,6282,103,93,60.99029126213592,93,1.1827956989247312,4,0.00909090909090909,0.03636363636363636,0.00515402788913551,0.9821110216575145,75.625
dif_ren,110,13,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_13.json,5677,103,103,55.116504854368934,103,1.0679611650485437,4,0.00909090909090909,0.03636363636363636,0.0031700414820949644,0.9924332079377816,93.0769230769231
dif_ren,110,14,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_14.json,5314,103,86,51.592233009708735,86,1.2790697674418605,5,0.00909090909090909,0.045454545454545456,0.007420688699697356,0.9693465215729583,61.11111111111112
dif_ren,110,15,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_15.json,6630,103,94,64.36893203883496,94,1.1702127659574468,4,0.00909090909090909,0.03636363636363636,0.00507345340371528,0.9825729583773152,76.58227848101268
dif_ren,110,16,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_16.json,6051,103,97,58.74757281553398,97,1.134020618556701,4,0.00909090909090909,0.03636363636363636,0.004255787268881997,0.9868447034686576,82.87671232876713
dif_ren,110,17,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_17.json,4868,103,86,47.262135922330096,86,1.2790697674418605,8,0.00909090909090909,0.07272727272727272,0.008839131061465909,0.9627612992509843,54.50450450450453
dif_ren,110,18,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_18.json,5857,103,92,56.86407766990291,92,1.1956521739130435,6,0.00909090909090909,0.05454545454545454,0.0074916566881521205,0.9701547819571853,62.371134020618555
dif_ren,110,19,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_19.json,6261,103,88,60.786407766990294,88,1.25,9,0.00909090909090909,0.08181818181818182,0.009519839697114275,0.9601196046660236,51.70940170940171
dif_ren,110,2,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_2.json,6214,103,92,60.33009708737864,92,1.1956521739130435,5,0.00909090909090909,0.045454545454545456,0.005724406465596932,0.9790600668148205,72.02380952380953
dif_ren,110,20,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_20.json,5854,103,96,56.83495145631068,96,1.1458333333333333,6,0.00909090909090909,0.05454545454545454,0.0062900461762937935,0.9775375133174328,70.34883720930233
dif_ren,110,21,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_21.json,5675,103,89,55.09708737864078,89,1.2359550561797752,4,0.00909090909090909,0.03636363636363636,0.005622618567731516,0.979439645252386,71.1764705882353
dif_ren,110,22,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_22.json,6176,103,96,59.96116504854369,96,1.1458333333333333,6,0.00909090909090909,0.05454545454545454,0.0064254528233664305,0.9764953488927637,69.54022988505747
dif_ren,110,23,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_23.json,5929,103,96,57.56310679611651,96,1.1458333333333333,6,0.00909090909090909,0.05454545454545454,0.006688046811746051,0.9759564357312571,67.97752808988764
dif_ren,110,24,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_24.json,6464,103,104,62.75728155339806,104,1.0576923076923077,4,0.00909090909090909,0.03636363636363636,0.003043163493973638,0.9930821358240619,94.53125
dif_ren,110,25,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_25.json,5804,103,92,56.349514563106794,92,1.1956521739130435,7,0.00909090909090909,0.06363636363636363,0.0073707732011745125,0.9710092761684175,63.02083333333334
dif_ren,110,26,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_26.json,6948,103,95,67.45631067961165,95,1.1578947368421053,6,0.00909090909090909,0.05454545454545454,0.005488853741511957,0.9820125963323388,74.69135802469137
dif_ren,110,27,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_27.json,6027,103,94,58.51456310679612,94,1.1702127659574468,5,0.00909090909090909,0.045454545454545456,0.0060241437146605166,0.9775665553600502,71.1764705882353
dif_ren,110,28,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_28.json,6052,103,92,58.75728155339806,92,1.1956521739130435,11,0.00909090909090909,0.1,0.00996212107599096,0.9610354293358527,50.0
dif_ren,110,29,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_29.json,6133,103,97,59.54368932038835,97,1.134020618556701,4,0.00909090909090909,0.03636363636363636,0.004819104079543558,0.9840898461521186,79.60526315789474
dif_ren,110,3,110,102,True,/users/delfos/aina/secoem-VSS/scentree-gen-remote/dif_ren_scentree/scenariotree_110/results_3.json,7185,103,98,69.75728155339806,98,1.1224489795918366,8,0.00909090909090909,0.07272727272727272,0.007025638674865115,0.9757173237150867,66.4835164835165
